name,coefficient D,cultivation_variety R(varieties),irrigated B,maximum_yield_aim D,minimum_yield_aim D,nitrogen_stock_before_bolting D,usage R(production_usages)
altigo_wheat_crop,3,triticum_aestivum_altigo,,,,,
altria_wheat_crop,3,triticum_aestivum_altria,,,,,
amador_wheat_crop,3,triticum_aestivum_amador,,,,,
andino_wheat_crop,3,triticum_aestivum_andino,,,,,
apache_wheat_crop,3,triticum_aestivum_apache,,,,,
aprilio_wheat_crop,3,triticum_aestivum_aprilio,,,,,
arezzo_wheat_crop,3,triticum_aestivum_arezzo,,,,,
aristote_wheat_crop,3,triticum_aestivum_aristote,,,,,
arkeos_wheat_crop,3,triticum_aestivum_arkeos,,,,,
as_de_coeur_wheat_crop,3,triticum_aestivum_as_de_coeur,,,,,
attitude_wheat_crop,3,triticum_aestivum_attitude,,,,,
aurele_wheat_crop,3,triticum_aestivum_aurele,,,,,
autan_wheat_crop,3,triticum_aestivum_autan,,,,,
aztec_wheat_crop,3,triticum_aestivum_aztec,,,,,
bagou_wheat_crop,3,triticum_aestivum_bagou,,,,,
barok_wheat_crop,3,triticum_aestivum_barok,,,,,
bastide_wheat_crop,3,triticum_aestivum_bastide,,,,,
boisseau_wheat_crop,3,triticum_aestivum_boisseau,,,,,
boregar_wheat_crop,3,triticum_aestivum_boregar,,,,,
boston_wheat_crop,3,triticum_aestivum_boston,,,,,
brentano_wheat_crop,3,triticum_aestivum_brentano,,,,,
buenno_wheat_crop,3,triticum_aestivum_buenno,,,,,
calisto_wheat_crop,3,triticum_aestivum_calisto,,,,,
campero_wheat_crop,3,triticum_aestivum_campero,,,,,
catalan_wheat_crop,3,triticum_aestivum_catalan,,,,,
celestin_wheat_crop,3,triticum_aestivum_celestin,,,,,
centenaire_wheat_crop,3,triticum_aestivum_centenaire,,,,,
chagall_wheat_crop,3,triticum_aestivum_chagall,,,,,
charger_wheat_crop,3,triticum_aestivum_charger,,,,,
chevron_wheat_crop,3,triticum_aestivum_chevron,,,,,
compil_wheat_crop,3,triticum_aestivum_compil,,,,,
cordiale_wheat_crop,3,triticum_aestivum_cordiale,,,,,
craklin_wheat_crop,3,triticum_aestivum_craklin,,,,,
cyrano_wheat_crop,3,triticum_aestivum_cyrano,,,,,
dialog_wheat_crop,3,triticum_aestivum_dialog,,,,,
dinghy_wheat_crop,3,triticum_aestivum_dinghy,,,,,
dinosor_wheat_crop,3,triticum_aestivum_dinosor,,,,,
elephant_wheat_crop,3,triticum_aestivum_elephant,,,,,
ephoros_wheat_crop,3,triticum_aestivum_ephoros,,,,,
epidoc_wheat_crop,3,triticum_aestivum_epidoc,,,,,
equilibre_wheat_crop,3,triticum_aestivum_equilibre,,,,,
euclide_wheat_crop,3,triticum_aestivum_euclide,,,,,
flaubert_wheat_crop,3,triticum_aestivum_flaubert,,,,,
fluor_wheat_crop,3,triticum_aestivum_fluor,,,,,
folklor_wheat_crop,3,triticum_aestivum_folklor,,,,,
forban_wheat_crop,3,triticum_aestivum_forban,,,,,
forblanc_wheat_crop,3,triticum_aestivum_forblanc,,,,,
galopain_wheat_crop,3,triticum_aestivum_galopain,,,,,
garantus_wheat_crop,3,triticum_aestivum_garantus,,,,,
garcia_wheat_crop,3,triticum_aestivum_garcia,,,,,
goncourt_wheat_crop,3,triticum_aestivum_goncourt,,,,,
grethel_wheat_crop,3,triticum_aestivum_grethel,,,,,
hamac_wheat_crop,3,triticum_aestivum_hamac,,,,,
haussmann_wheat_crop,3,triticum_aestivum_haussmann,,,,,
hybred_wheat_crop,3,triticum_aestivum_hybred,,,,,
hyxo_wheat_crop,3,triticum_aestivum_hyxo,,,,,
illico_wheat_crop,3,triticum_aestivum_illico,,,,,
innov_wheat_crop,3,triticum_aestivum_innov,,,,,
isengrain_wheat_crop,3,triticum_aestivum_isengrain,,,,,
kalystar_wheat_crop,3,triticum_aestivum_kalystar,,,,,
karillon_wheat_crop,3,triticum_aestivum_karillon,,,,,
marcelin_wheat_crop,3,triticum_aestivum_marcelin,,,,,
maxwell_wheat_crop,3,triticum_aestivum_maxwell,,,,,
maxyl_wheat_crop,3,triticum_aestivum_maxyl,,,,,
minotor_wheat_crop,3,triticum_aestivum_minotor,,,,,
nirvana_wheat_crop,3,triticum_aestivum_nirvana,,,,,
nucleo_wheat_crop,3,triticum_aestivum_nucleo,,,,,
orcas_wheat_crop,3,triticum_aestivum_orcas,,,,,
ornicar_wheat_crop,3,triticum_aestivum_ornicar,,,,,
orvantis_wheat_crop,3,triticum_aestivum_orvantis,,,,,
oxebo_wheat_crop,3,triticum_aestivum_oxebo,,,,,
paledor_wheat_crop,3,triticum_aestivum_paledor,,,,,
pepidor_wheat_crop,3,triticum_aestivum_pepidor,,,,,
perceval_wheat_crop,3,triticum_aestivum_perceval,,,,,
phare_wheat_crop,3,triticum_aestivum_phare,,,,,
plainedor_wheat_crop,3,triticum_aestivum_plainedor,,,,,
pr22r20_wheat_crop,3,triticum_aestivum_pr22r20,,,,,
pr22r28_wheat_crop,3,triticum_aestivum_pr22r28,,,,,
pr22r58_wheat_crop,3,triticum_aestivum_pr22r58,,,,,
premio_wheat_crop,3,triticum_aestivum_premio,,,,,
quatuor_wheat_crop,3,triticum_aestivum_quatuor,,,,,
razzano_wheat_crop,3,triticum_aestivum_razzano,,,,,
record_wheat_crop,3,triticum_aestivum_record,,,,,
richepain_wheat_crop,3,triticum_aestivum_richepain,,,,,
ritmo_wheat_crop,3,triticum_aestivum_ritmo,,,,,
rochfort_wheat_crop,3,triticum_aestivum_rochfort,,,,,
rodrigo_wheat_crop,3,triticum_aestivum_rodrigo,,,,,
rosario_wheat_crop,3,triticum_aestivum_rosario,,,,,
rustic_wheat_crop,3,triticum_aestivum_rustic,,,,,
sankara_wheat_crop,3,triticum_aestivum_sankara,,,,,
semafor_wheat_crop,3,triticum_aestivum_semafor,,,,,
seyrac_wheat_crop,3,triticum_aestivum_seyrac,,,,,
shango_wheat_crop,3,triticum_aestivum_shango,,,,,
sideral_wheat_crop,3,triticum_aestivum_sideral,,,,,
sirtaki_wheat_crop,3,triticum_aestivum_sirtaki,,,,,
sisley_wheat_crop,3,triticum_aestivum_sisley,,,,,
sogood_wheat_crop,3,triticum_aestivum_sogood,,,,,
solehio_wheat_crop,3,triticum_aestivum_solehio,,,,,
sollario_wheat_crop,3,triticum_aestivum_sollario,,,,,
swindy_wheat_crop,3,triticum_aestivum_swindy,,,,,
swinggy_wheat_crop,3,triticum_aestivum_swinggy,,,,,
taldor_wheat_crop,3,triticum_aestivum_taldor,,,,,
texel_wheat_crop,3,triticum_aestivum_texel,,,,,
tiago_wheat_crop,3,triticum_aestivum_tiago,,,,,
timber_wheat_crop,3,triticum_aestivum_timber,,,,,
toisondor_wheat_crop,3,triticum_aestivum_toisondor,,,,,
uski_wheat_crop,3,triticum_aestivum_uski,,,,,
accor_wheat_crop,3.2,triticum_aestivum_accor,,,,,
adagio_wheat_crop,3.2,triticum_aestivum_adagio,,,,,
aerobic_wheat_crop,3.2,triticum_aestivum_aerobic,,,,,
allez y_wheat_crop,3.2,triticum_aestivum_allez y,,,,,
altamira_wheat_crop,3.2,triticum_aestivum_altamira,,,,,
ambello_wheat_crop,3.2,triticum_aestivum_ambello,,,,,
amerigo_wheat_crop,3.2,triticum_aestivum_amerigo,,,,,
athlon_wheat_crop,3.2,triticum_aestivum_athlon,,,,,
attlass_wheat_crop,3.2,triticum_aestivum_attlass,,,,,
aubusson_wheat_crop,3.2,triticum_aestivum_aubusson,,,,,
avantage_wheat_crop,3.2,triticum_aestivum_avantage,,,,,
azimut_wheat_crop,3.2,triticum_aestivum_azimut,,,,,
azzerti_wheat_crop,3.2,triticum_aestivum_azzerti,,,,,
camp_remy_wheat_crop,3.2,triticum_aestivum_camp_remy,,,,,
caphorn_wheat_crop,3.2,triticum_aestivum_caphorn,,,,,
ccb_ingenio_wheat_crop,3.2,triticum_aestivum_ccb_ingenio,,,,,
cezanne_wheat_crop,3.2,triticum_aestivum_cezanne,,,,,
chevalier_wheat_crop,3.2,triticum_aestivum_chevalier,,,,,
croisade_wheat_crop,3.2,triticum_aestivum_croisade,,,,,
exelcior_wheat_crop,3.2,triticum_aestivum_exelcior,,,,,
exotic_wheat_crop,3.2,triticum_aestivum_exotic,,,,,
farandole_wheat_crop,3.2,triticum_aestivum_farandole,,,,,
frelon_wheat_crop,3.2,triticum_aestivum_frelon,,,,,
galactic_wheat_crop,3.2,triticum_aestivum_galactic,,,,,
graindor_wheat_crop,3.2,triticum_aestivum_graindor,,,,,
instinct_wheat_crop,3.2,triticum_aestivum_instinct,,,,,
interet_wheat_crop,3.2,triticum_aestivum_interet,,,,,
iridium_wheat_crop,3.2,triticum_aestivum_iridium,,,,,
isidor_wheat_crop,3.2,triticum_aestivum_isidor,,,,,
kalango_wheat_crop,3.2,triticum_aestivum_kalango,,,,,
koreli_wheat_crop,3.2,triticum_aestivum_koreli,,,,,
limes_wheat_crop,3.2,triticum_aestivum_limes,,,,,
lukullus_wheat_crop,3.2,triticum_aestivum_lukullus,,,,,
manager_wheat_crop,3.2,triticum_aestivum_manager,,,,,
mendel_wheat_crop,3.2,triticum_aestivum_mendel,,,,,
mercato_wheat_crop,3.2,triticum_aestivum_mercato,,,,,
miroir_wheat_crop,3.2,triticum_aestivum_miroir,,,,,
musik_wheat_crop,3.2,triticum_aestivum_musik,,,,,
nogal_wheat_crop,3.2,triticum_aestivum_nogal,,,,,
nuage_wheat_crop,3.2,triticum_aestivum_nuage,,,,,
oratorio_wheat_crop,3.2,triticum_aestivum_oratorio,,,,,
paindor_wheat_crop,3.2,triticum_aestivum_paindor,,,,,
racine_wheat_crop,3.2,triticum_aestivum_racine,,,,,
recital_wheat_crop,3.2,triticum_aestivum_recital,,,,,
ressor_wheat_crop,3.2,triticum_aestivum_ressor,,,,,
saint_ex_wheat_crop,3.2,triticum_aestivum_saint_ex,,,,,
samourai_wheat_crop,3.2,triticum_aestivum_samourai,,,,,
soissons_wheat_crop,3.2,triticum_aestivum_soissons,,,,,
sophytra_wheat_crop,3.2,triticum_aestivum_sophytra,,,,,
sorrial_wheat_crop,3.2,triticum_aestivum_sorrial,,,,,
sy_wheat_crop,3.2,triticum_aestivum_sy,,,,,
alteo_wheat_crop,3.2,triticum_aestivum_alteo,,,,,
valodor_wheat_crop,3.2,triticum_aestivum_valodor,,,,,
zinal_wheat_crop,3.2,triticum_aestivum_zinal,,,,,
hyno_rista_wheat_crop,3.5,triticum_aestivum_hyno_rista,,,,,
monopole_wheat_crop,3.5,triticum_aestivum_monopole,,,,,
sebasto_wheat_crop,3.5,triticum_aestivum_sebasto,,,,,
segor_wheat_crop,3.5,triticum_aestivum_segor,,,,,
somme_wheat_crop,3.5,triticum_aestivum_somme,,,,,
turelli_wheat_crop,3.5,triticum_aestivum_turelli,,,,,
manital_wheat_crop,3.7,triticum_aestivum_manital,,,,40,
renan_wheat_crop,3.7,triticum_aestivum_renan,,,,40,
esperia_wheat_crop,3.9,triticum_aestivum_esperia,,,,60,
galibier_wheat_crop,3.9,triticum_aestivum_galibier,,,,60,
quality_wheat_crop,3.9,triticum_aestivum_quality,,,,60,
bussard_wheat_crop,4.1,triticum_aestivum_bussard,,,,80,
quebon_wheat_crop,4.1,triticum_aestivum_quebon,,,,80,
courtot_wheat_crop,4.1,triticum_aestivum_courtot,,,,80,
runal_wheat_crop,4.1,triticum_aestivum_runal,,,,80,
levis_wheat_crop,4.1,triticum_aestivum_levis,,,,80,
tamaro_wheat_crop,4.1,triticum_aestivum_tamaro,,,,80,
lona_wheat_crop,4.1,triticum_aestivum_lona,,,,80,
qualital_wheat_crop,4.1,triticum_aestivum_qualital,,,,80,
pescadou_durum_wheat_crop,3.5,triticum_durum_pescadou,,,,40,
biensur_durum_wheat_crop,3.7,triticum_durum_biensur,,,,50,
karur_durum_wheat_crop,3.7,triticum_durum_karur,,,,50,
cultur_durum_wheat_crop,3.7,triticum_durum_cultur,,,,50,
sy_banco_durum_wheat_crop,3.7,triticum_durum_sy_banco,,,,50,
alexis_durum_wheat_crop,3.9,triticum_durum_alexis,,,,70,
sy_cysco_durum_wheat_crop,3.9,triticum_durum_sy_cysco,,,,70,
fabulis_durum_wheat_crop,3.9,triticum_durum_fabulis,,,,70,
miradoux_durum_wheat_crop,3.9,triticum_durum_miradoux,,,,70,
sculptur_durum_wheat_crop,3.9,triticum_durum_sculptur,,,,70,
aventur_durum_wheat_crop,4.1,triticum_durum_aventur,,,,80,
tablur_durum_wheat_crop,4.1,triticum_durum_tablur,,,,80,
irrigate_spring_barley_crop,2.5,hordeum_distichum,true,,,,
low_protein_spring_barley_crop,2.4,hordeum_distichum,,,,,
spring_barley_crop,2.2,hordeum_distichum,,,,,
brassage_barley_crop,2.2,hordeum_hexastichum,,,,,
low_protein_brassage_barley_crop,2.5,hordeum_hexastichum,,,,,
winter_barley_crop,2.5,hordeum_hexastichum,,,,,
